34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
22:44:22.0 (3177935)|SYSTEM_MODE_EXIT|false
22:44:22.0 (3189146)|METHOD_EXIT|[1]|EventsInsertAfterHandler
22:44:22.0 (3195775)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (3215662)|CONSTRUCTOR_ENTRY|[12]|01p61000007124Y|<init>()
22:44:22.0 (3248595)|VARIABLE_SCOPE_BEGIN|[5]|this|alagukannan.EventsInsertAfterHandler|true|false
22:44:22.0 (3503079)|VARIABLE_SCOPE_BEGIN|[2]|Configs.classInstance|alagukannan.Configs|true|true
22:44:22.0 (3642744)|VARIABLE_SCOPE_BEGIN|[2]|helper.classInstance|alagukannan.helper|true|true
22:44:22.0 (3653295)|VARIABLE_ASSIGNMENT|[5]|this|{}|0x27504397
22:44:22.0 (3664848)|SYSTEM_MODE_ENTER|false
22:44:22.0 (3670754)|HEAP_ALLOCATE|[3]|Bytes:5
22:44:22.0 (3679260)|STATEMENT_EXECUTE|[1]
22:44:22.0 (3683575)|HEAP_ALLOCATE|[3]|Bytes:5
22:44:22.0 (3687602)|STATEMENT_EXECUTE|[3]
22:44:22.0 (3696188)|HEAP_ALLOCATE|[3]|Bytes:132
22:44:22.0 (3701089)|HEAP_ALLOCATE|[3]|Bytes:11
22:44:22.0 (3719961)|METHOD_ENTRY|[1]|01p61000007124d|Configs.Configs()
22:44:22.0 (3725791)|STATEMENT_EXECUTE|[1]
22:44:22.0 (3732289)|STATEMENT_EXECUTE|[1]
22:44:22.0 (3737914)|HEAP_ALLOCATE|[8]|Bytes:5
22:44:22.0 (3742674)|STATEMENT_EXECUTE|[7]
22:44:22.0 (3745327)|STATEMENT_EXECUTE|[8]
22:44:22.0 (3750418)|HEAP_ALLOCATE|[8]|Bytes:20
22:44:22.0 (3758818)|CONSTRUCTOR_ENTRY|[8]|01p61000007124d|<init>()
22:44:22.0 (3789667)|VARIABLE_SCOPE_BEGIN|[11]|this|alagukannan.Configs|true|false
22:44:22.0 (3830993)|VARIABLE_ASSIGNMENT|[11]|this|{}|0x7eb4e353
22:44:22.0 (3841021)|HEAP_ALLOCATE|[4]|Bytes:5
22:44:22.0 (3848948)|STATEMENT_EXECUTE|[1]
22:44:22.0 (3852369)|HEAP_ALLOCATE|[4]|Bytes:5
22:44:22.0 (3856123)|STATEMENT_EXECUTE|[4]
22:44:22.0 (3859837)|HEAP_ALLOCATE|[4]|Bytes:21
22:44:22.0 (3873556)|VARIABLE_ASSIGNMENT|[4]|this.RCC_LEAD_SOURCE|"Redlands Cricket Clu (1 more) ..."|0x7eb4e353
22:44:22.0 (3878701)|STATEMENT_EXECUTE|[5]
22:44:22.0 (3883737)|HEAP_ALLOCATE|[5]|Bytes:4
22:44:22.0 (3890175)|VARIABLE_ASSIGNMENT|[5]|this.TOKEN_LENGTH|32|0x7eb4e353
22:44:22.0 (3894526)|STATEMENT_EXECUTE|[19]
22:44:22.0 (3897543)|STATEMENT_EXECUTE|[22]
22:44:22.0 (3922755)|STATEMENT_EXECUTE|[11]
22:44:22.0 (3929762)|CONSTRUCTOR_EXIT|[8]|01p61000007124d|<init>()
22:44:22.0 (3961982)|VARIABLE_ASSIGNMENT|[8]|Configs.classInstance|{"RCC_LEAD_SOURCE":"Redlands Cricket Clu (1 more) ...","TOKEN_LENGTH":32}|0x7eb4e353
22:44:22.0 (3975882)|METHOD_EXIT|[1]|Configs
22:44:22.0 (3998948)|METHOD_ENTRY|[3]|01p61000007124d|alagukannan.Configs.getInstance()
22:44:22.0 (4051929)|HEAP_ALLOCATE|[16]|Bytes:5
22:44:22.0 (4061551)|STATEMENT_EXECUTE|[15]
22:44:22.0 (4064565)|STATEMENT_EXECUTE|[16]
22:44:22.0 (4076114)|METHOD_EXIT|[3]|01p61000007124d|alagukannan.Configs.getInstance()
22:44:22.0 (4086479)|VARIABLE_ASSIGNMENT|[3]|this.myconfig|0x7eb4e353|0x27504397
22:44:22.0 (4091386)|STATEMENT_EXECUTE|[4]
22:44:22.0 (4101656)|HEAP_ALLOCATE|[4]|Bytes:7
22:44:22.0 (4126777)|METHOD_ENTRY|[1]|01p61000007124n|helper.helper()
22:44:22.0 (4132726)|STATEMENT_EXECUTE|[1]
22:44:22.0 (4140284)|STATEMENT_EXECUTE|[1]
22:44:22.0 (4146441)|HEAP_ALLOCATE|[5]|Bytes:5
22:44:22.0 (4151375)|STATEMENT_EXECUTE|[4]
22:44:22.0 (4153986)|STATEMENT_EXECUTE|[5]
22:44:22.0 (4158710)|HEAP_ALLOCATE|[5]|Bytes:4
22:44:22.0 (4167068)|CONSTRUCTOR_ENTRY|[5]|01p61000007124n|<init>()
22:44:22.0 (4195952)|VARIABLE_SCOPE_BEGIN|[8]|this|alagukannan.helper|true|false
22:44:22.0 (4218872)|VARIABLE_ASSIGNMENT|[8]|this|{}|0x4b1d1d1a
22:44:22.0 (4228626)|HEAP_ALLOCATE|[4]|Bytes:5
22:44:22.0 (4236520)|STATEMENT_EXECUTE|[1]
22:44:22.0 (4240049)|HEAP_ALLOCATE|[4]|Bytes:5
22:44:22.0 (4264631)|STATEMENT_EXECUTE|[8]
22:44:22.0 (4271609)|CONSTRUCTOR_EXIT|[5]|01p61000007124n|<init>()
22:44:22.0 (4295639)|VARIABLE_ASSIGNMENT|[5]|helper.classInstance|{}|0x4b1d1d1a
22:44:22.0 (4308253)|METHOD_EXIT|[1]|helper
22:44:22.0 (4327740)|METHOD_ENTRY|[4]|01p61000007124n|alagukannan.helper.getInstance()
22:44:22.0 (4350566)|HEAP_ALLOCATE|[13]|Bytes:5
22:44:22.0 (4359068)|STATEMENT_EXECUTE|[12]
22:44:22.0 (4362146)|STATEMENT_EXECUTE|[13]
22:44:22.0 (4371365)|METHOD_EXIT|[4]|01p61000007124n|alagukannan.helper.getInstance()
22:44:22.0 (4380658)|VARIABLE_ASSIGNMENT|[4]|this.myhelper|0x4b1d1d1a|0x27504397
22:44:22.0 (4404586)|STATEMENT_EXECUTE|[5]
22:44:22.0 (4410890)|SYSTEM_MODE_EXIT|false
22:44:22.0 (4422268)|CONSTRUCTOR_EXIT|[12]|01p61000007124Y|<init>()
22:44:22.0 (4452794)|METHOD_ENTRY|[12]|01p61000007124T|alagukannan.EventsDomainController.bind(alagukannan.EventsDomainController.Evt, alagukannan.EventsDomainController.HandlerInterface)
22:44:22.0 (4468414)|VARIABLE_SCOPE_BEGIN|[28]|this|alagukannan.EventsDomainController|true|false
22:44:22.0 (4496046)|VARIABLE_ASSIGNMENT|[28]|this|{"eventHandlerMapping":"0x2ab097c7"}|0x2a663e9e
22:44:22.0 (4506403)|VARIABLE_SCOPE_BEGIN|[28]|event|alagukannan.EventsDomainController.Evt|true|false
22:44:22.0 (4523869)|VARIABLE_ASSIGNMENT|[28]|event|"afterinsert"|0x3f305ede
22:44:22.0 (4531100)|VARIABLE_SCOPE_BEGIN|[28]|eh|alagukannan.EventsDomainController.HandlerInterface|true|false
22:44:22.0 (4552796)|VARIABLE_ASSIGNMENT|[28]|eh|{"myconfig":"0x7eb4e353","myhelper":"0x4b1d1d1a"}|0x27504397
22:44:22.0 (4563824)|STATEMENT_EXECUTE|[29]
22:44:22.0 (4567045)|STATEMENT_EXECUTE|[30]
22:44:22.0 (4616412)|ENTERING_MANAGED_PKG|
22:44:22.0 (4733161)|VARIABLE_SCOPE_BEGIN|[30]|handlers|List<alagukannan.EventsDomainController.HandlerInterface>|true|false
22:44:22.0 (4746383)|VARIABLE_ASSIGNMENT|[30]|handlers|null|
22:44:22.0 (4754329)|STATEMENT_EXECUTE|[32]
22:44:22.0 (4757223)|STATEMENT_EXECUTE|[33]
22:44:22.0 (4764696)|HEAP_ALLOCATE|[33]|Bytes:4
22:44:22.0 (4832843)|ENTERING_MANAGED_PKG|
22:44:22.0 (4877418)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:44:22.0 (4897165)|VARIABLE_ASSIGNMENT|[33]|handlers|{"s":1,"v":[]}|0x5741157d
22:44:22.0 (4905077)|STATEMENT_EXECUTE|[34]
22:44:22.0 (4927084)|ENTERING_MANAGED_PKG|
22:44:22.0 (4953293)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
22:44:22.0 (4965155)|STATEMENT_EXECUTE|[36]
22:44:22.0 (4978948)|ENTERING_MANAGED_PKG|
22:44:22.0 (5002456)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:44:22.0 (5014178)|STATEMENT_EXECUTE|[37]
22:44:22.0 (5021757)|METHOD_EXIT|[12]|01p61000007124T|alagukannan.EventsDomainController.bind(alagukannan.EventsDomainController.Evt, alagukannan.EventsDomainController.HandlerInterface)
22:44:22.0 (5029226)|STATEMENT_EXECUTE|[13]
22:44:22.0 (5045222)|METHOD_ENTRY|[13]|01p61000007124T|alagukannan.EventsDomainController.manage()
22:44:22.0 (5071862)|VARIABLE_SCOPE_BEGIN|[43]|this|alagukannan.EventsDomainController|true|false
22:44:22.0 (5099017)|VARIABLE_ASSIGNMENT|[43]|this|{"eventHandlerMapping":"0x2ab097c7"}|0x2a663e9e
22:44:22.0 (5110228)|STATEMENT_EXECUTE|[44]
22:44:22.0 (5113321)|STATEMENT_EXECUTE|[45]
22:44:22.0 (5124213)|VARIABLE_SCOPE_BEGIN|[45]|ev|alagukannan.EventsDomainController.Evt|true|false
22:44:22.0 (5132489)|VARIABLE_ASSIGNMENT|[45]|ev|null|
22:44:22.0 (5165560)|STATEMENT_EXECUTE|[55]
22:44:22.0 (5169029)|STATEMENT_EXECUTE|[56]
22:44:22.0 (5183592)|VARIABLE_ASSIGNMENT|[56]|ev|"beforeupdate"|0x464a5713
22:44:22.0 (5189818)|STATEMENT_EXECUTE|[75]
22:44:22.0 (5211184)|ENTERING_MANAGED_PKG|
22:44:22.0 (5240499)|VARIABLE_SCOPE_BEGIN|[75]|handlers|List<alagukannan.EventsDomainController.HandlerInterface>|true|false
22:44:22.0 (5249709)|VARIABLE_ASSIGNMENT|[75]|handlers|null|
22:44:22.0 (5257828)|STATEMENT_EXECUTE|[77]
22:44:22.0 (5263774)|METHOD_EXIT|[13]|01p61000007124T|alagukannan.EventsDomainController.manage()
22:44:22.5 (5278335)|CUMULATIVE_LIMIT_USAGE
22:44:22.5 (5278335)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

22:44:22.5 (5278335)|CUMULATIVE_LIMIT_USAGE_END

22:44:22.0 (6612659)|CODE_UNIT_FINISHED|alagukannan.eventsTrigger on Event trigger event BeforeUpdate for [a0E61000002D75G]
22:44:22.0 (25276719)|CODE_UNIT_STARTED|[EXTERNAL]|01q61000000kQuX|alagukannan.eventsTrigger on Event trigger event AfterUpdate for [a0E61000002D75G]
22:44:22.0 (25295759)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:44:22.0 (25319691)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:44:22.0 (25360621)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:44:22.0 (25369815)|VARIABLE_SCOPE_BEGIN|[1]|this|alagukannan.eventsTrigger|true|false
22:44:22.0 (25393863)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x37b352ac
22:44:22.0 (25418005)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:44:22.0 (25425631)|VARIABLE_SCOPE_BEGIN|[1]|this|alagukannan.eventsTrigger|true|false
22:44:22.0 (25444097)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x37b352ac
22:44:22.0 (25452961)|STATEMENT_EXECUTE|[1]
22:44:22.0 (25456156)|STATEMENT_EXECUTE|[10]
22:44:22.0 (25461232)|HEAP_ALLOCATE|[10]|Bytes:8
22:44:22.0 (25468030)|CONSTRUCTOR_ENTRY|[10]|01p61000007124T|<init>()
22:44:22.0 (25477817)|VARIABLE_SCOPE_BEGIN|[1]|this|alagukannan.EventsDomainController|true|false
22:44:22.0 (25498265)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x2623fc1
22:44:22.0 (25522501)|STATEMENT_EXECUTE|[1]
22:44:22.0 (25526090)|STATEMENT_EXECUTE|[23]
22:44:22.0 (25530812)|HEAP_ALLOCATE|[23]|Bytes:4
22:44:22.0 (25552767)|VARIABLE_ASSIGNMENT|[23]|this.eventHandlerMapping|{"s":1,"v":{}}|0x2623fc1
22:44:22.0 (25560034)|CONSTRUCTOR_EXIT|[10]|01p61000007124T|<init>()
22:44:22.0 (25570695)|VARIABLE_ASSIGNMENT|[10]|this.myhandler|0x2623fc1|0x37b352ac
22:44:22.0 (25576466)|STATEMENT_EXECUTE|[12]
22:44:22.0 (25585198)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (25595873)|CONSTRUCTOR_ENTRY|[12]|01p61000007124Y|<init>()
22:44:22.0 (25605624)|VARIABLE_SCOPE_BEGIN|[5]|this|alagukannan.EventsInsertAfterHandler|true|false
22:44:22.0 (25627885)|VARIABLE_ASSIGNMENT|[5]|this|{}|0xb9f6633
22:44:22.0 (26021220)|SYSTEM_MODE_ENTER|false
22:44:22.0 (26030031)|HEAP_ALLOCATE|[3]|Bytes:5
22:44:22.0 (26039625)|STATEMENT_EXECUTE|[1]
22:44:22.0 (26044093)|HEAP_ALLOCATE|[3]|Bytes:5
22:44:22.0 (26047966)|STATEMENT_EXECUTE|[3]
22:44:22.0 (26055894)|METHOD_ENTRY|[3]|01p61000007124d|alagukannan.Configs.getInstance()
22:44:22.0 (26064736)|HEAP_ALLOCATE|[16]|Bytes:5
22:44:22.0 (26069879)|STATEMENT_EXECUTE|[15]
22:44:22.0 (26072549)|STATEMENT_EXECUTE|[16]
22:44:22.0 (26080562)|METHOD_EXIT|[3]|01p61000007124d|alagukannan.Configs.getInstance()
22:44:22.0 (26089660)|VARIABLE_ASSIGNMENT|[3]|this.myconfig|0x7eb4e353|0xb9f6633
22:44:22.0 (26094329)|STATEMENT_EXECUTE|[4]
22:44:22.0 (26099543)|METHOD_ENTRY|[4]|01p61000007124n|alagukannan.helper.getInstance()
22:44:22.0 (26107922)|HEAP_ALLOCATE|[13]|Bytes:5
22:44:22.0 (26113374)|STATEMENT_EXECUTE|[12]
22:44:22.0 (26116050)|STATEMENT_EXECUTE|[13]
22:44:22.0 (26127974)|METHOD_EXIT|[4]|01p61000007124n|alagukannan.helper.getInstance()
22:44:22.0 (26135808)|VARIABLE_ASSIGNMENT|[4]|this.myhelper|0x4b1d1d1a|0xb9f6633
22:44:22.0 (26159551)|STATEMENT_EXECUTE|[5]
22:44:22.0 (26165829)|SYSTEM_MODE_EXIT|false
22:44:22.0 (26177079)|CONSTRUCTOR_EXIT|[12]|01p61000007124Y|<init>()
22:44:22.0 (26186966)|METHOD_ENTRY|[12]|01p61000007124T|alagukannan.EventsDomainController.bind(alagukannan.EventsDomainController.Evt, alagukannan.EventsDomainController.HandlerInterface)
22:44:22.0 (26197002)|VARIABLE_SCOPE_BEGIN|[28]|this|alagukannan.EventsDomainController|true|false
22:44:22.0 (26224046)|VARIABLE_ASSIGNMENT|[28]|this|{"eventHandlerMapping":"0x72888ad6"}|0x2623fc1
22:44:22.0 (26231911)|VARIABLE_SCOPE_BEGIN|[28]|event|alagukannan.EventsDomainController.Evt|true|false
22:44:22.0 (26243058)|VARIABLE_ASSIGNMENT|[28]|event|"afterinsert"|0x3f305ede
22:44:22.0 (26247898)|VARIABLE_SCOPE_BEGIN|[28]|eh|alagukannan.EventsDomainController.HandlerInterface|true|false
22:44:22.0 (26268426)|VARIABLE_ASSIGNMENT|[28]|eh|{"myconfig":"0x7eb4e353","myhelper":"0x4b1d1d1a"}|0xb9f6633
22:44:22.0 (26278169)|STATEMENT_EXECUTE|[29]
22:44:22.0 (26281157)|STATEMENT_EXECUTE|[30]
22:44:22.0 (26299860)|ENTERING_MANAGED_PKG|
22:44:22.0 (26312963)|VARIABLE_SCOPE_BEGIN|[30]|handlers|List<alagukannan.EventsDomainController.HandlerInterface>|true|false
22:44:22.0 (26321876)|VARIABLE_ASSIGNMENT|[30]|handlers|null|
22:44:22.0 (26328341)|STATEMENT_EXECUTE|[32]
22:44:22.0 (26331078)|STATEMENT_EXECUTE|[33]
22:44:22.0 (26335837)|HEAP_ALLOCATE|[33]|Bytes:4
22:44:22.0 (26345853)|ENTERING_MANAGED_PKG|
22:44:22.0 (26360335)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:44:22.0 (26373733)|VARIABLE_ASSIGNMENT|[33]|handlers|{"s":1,"v":[]}|0x269463de
22:44:22.0 (26380418)|STATEMENT_EXECUTE|[34]
22:44:22.0 (26397023)|ENTERING_MANAGED_PKG|
22:44:22.0 (26402291)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
22:44:22.0 (26410915)|STATEMENT_EXECUTE|[36]
22:44:22.0 (26418626)|ENTERING_MANAGED_PKG|
22:44:22.0 (26424211)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:44:22.0 (26431696)|STATEMENT_EXECUTE|[37]
22:44:22.0 (26438764)|METHOD_EXIT|[12]|01p61000007124T|alagukannan.EventsDomainController.bind(alagukannan.EventsDomainController.Evt, alagukannan.EventsDomainController.HandlerInterface)
22:44:22.0 (26445558)|STATEMENT_EXECUTE|[13]
22:44:22.0 (26455622)|METHOD_ENTRY|[13]|01p61000007124T|alagukannan.EventsDomainController.manage()
22:44:22.0 (26465104)|VARIABLE_SCOPE_BEGIN|[43]|this|alagukannan.EventsDomainController|true|false
22:44:22.0 (26490316)|VARIABLE_ASSIGNMENT|[43]|this|{"eventHandlerMapping":"0x72888ad6"}|0x2623fc1
22:44:22.0 (26500468)|STATEMENT_EXECUTE|[44]
22:44:22.0 (26503370)|STATEMENT_EXECUTE|[45]
22:44:22.0 (26509544)|VARIABLE_SCOPE_BEGIN|[45]|ev|alagukannan.EventsDomainController.Evt|true|false
22:44:22.0 (26516790)|VARIABLE_ASSIGNMENT|[45]|ev|null|
22:44:22.0 (26540200)|STATEMENT_EXECUTE|[59]
22:44:22.0 (26543654)|STATEMENT_EXECUTE|[60]
22:44:22.0 (26557565)|VARIABLE_ASSIGNMENT|[60]|ev|"afterupdate"|0x359bdcfa
22:44:22.0 (26563103)|STATEMENT_EXECUTE|[75]
22:44:22.0 (26580894)|ENTERING_MANAGED_PKG|
22:44:22.0 (26592723)|VARIABLE_SCOPE_BEGIN|[75]|handlers|List<alagukannan.EventsDomainController.HandlerInterface>|true|false
22:44:22.0 (26600844)|VARIABLE_ASSIGNMENT|[75]|handlers|null|
22:44:22.0 (26607704)|STATEMENT_EXECUTE|[77]
22:44:22.0 (26613309)|METHOD_EXIT|[13]|01p61000007124T|alagukannan.EventsDomainController.manage()
22:44:22.26 (26623993)|CUMULATIVE_LIMIT_USAGE
22:44:22.26 (26623993)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

22:44:22.26 (26623993)|CUMULATIVE_LIMIT_USAGE_END

22:44:22.0 (27867646)|CODE_UNIT_FINISHED|alagukannan.eventsTrigger on Event trigger event AfterUpdate for [a0E61000002D75G]
22:44:22.0 (28596730)|CODE_UNIT_STARTED|[EXTERNAL]|Workflow:01I61000000w8rk
22:44:22.0 (37224162)|WF_RULE_EVAL_BEGIN|Workflow
22:44:22.0 (37252882)|WF_CRITERIA_BEGIN|[Cricket Event: RCC-00004 a0E61000002D75G]|alagukannan_Cancelling_the_cricket_game3016100000099tK|01Q61000000PtzO|ON_ALL_CHANGES|0
22:44:22.0 (37385285)|WF_FORMULA|Formula:ENCODED:[treatNullAsNull]true|Values:
22:44:22.0 (37391303)|WF_CRITERIA_END|true
22:44:22.0 (37878611)|WF_SPOOL_ACTION_BEGIN|Workflow
22:44:22.0 (37909084)|WF_ACTION| Flow Trigger: 1;
22:44:22.0 (37912100)|WF_RULE_EVAL_END
22:44:22.0 (42466647)|WF_FLOW_ACTION_BEGIN|09L610000008iqg
22:44:22.42 (42540367)|FLOW_CREATE_INTERVIEW_BEGIN|00D61000000eD77|300610000008dGQ|3016100000099tK
22:44:22.42 (43992101)|FLOW_CREATE_INTERVIEW_END|8629a868423c298968df5bb2e8d315397a6ffbd-38c9|Cancelling the cricket game
22:44:22.44 (44337276)|FLOW_START_INTERVIEWS_BEGIN|1
22:44:22.44 (68461558)|FLOW_START_INTERVIEW_BEGIN|8629a868423c298968df5bb2e8d315397a6ffbd-38c9|Cancelling the cricket game
22:44:22.44 (69144709)|FLOW_START_INTERVIEW_END|8629a868423c298968df5bb2e8d315397a6ffbd-38c9|Cancelling the cricket game
22:44:22.95 (95521746)|CODE_UNIT_STARTED|[EXTERNAL]|01q61000000kQuh|alagukannan.ParticipantTrigger on Participant trigger event BeforeUpdate for [a0F610000038RVG, a0F610000038RVH, a0F610000038RVI]
22:44:22.95 (95597380)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
22:44:22.95 (95637330)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
22:44:22.95 (95737507)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:44:22.95 (95762847)|VARIABLE_SCOPE_BEGIN|[1]|this|alagukannan.ParticipantTrigger|true|false
22:44:22.95 (96068234)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x44458018
22:44:22.95 (96115211)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:44:22.95 (96132074)|VARIABLE_SCOPE_BEGIN|[1]|this|alagukannan.ParticipantTrigger|true|false
22:44:22.95 (96154185)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x44458018
